,Time,Open,High,Low,Close,Volume,Readable_time
145,1699318800000,41.73,42.01,41.2,41.42,264513.23000000,2023-11-07 01:00:00
146,1699322400000,41.44,41.63,40.22,40.32,308553.74000000,2023-11-07 02:00:00
147,1699326000000,40.33,40.82,40.08,40.81,209148.56000000,2023-11-07 03:00:00
148,1699329600000,40.82,41.25,40.67,41.2,209860.70000000,2023-11-07 04:00:00
149,1699333200000,41.21,41.45,41.03,41.39,157972.96000000,2023-11-07 05:00:00
150,1699336800000,41.39,41.55,41.06,41.52,157950.34000000,2023-11-07 06:00:00
151,1699340400000,41.52,41.68,41.25,41.55,164033.25000000,2023-11-07 07:00:00
152,1699344000000,41.56,41.75,41.26,41.31,166443.68000000,2023-11-07 08:00:00
153,1699347600000,41.31,41.39,40.57,40.73,283118.35000000,2023-11-07 09:00:00
154,1699351200000,40.73,41.16,40.48,40.9,309602.97000000,2023-11-07 10:00:00
155,1699354800000,40.9,41.54,40.79,41.1,253397.46000000,2023-11-07 11:00:00
156,1699358400000,41.1,41.73,40.71,41.5,300278.21000000,2023-11-07 12:00:00
157,1699362000000,41.5,42.1,41.36,41.99,484234.28000000,2023-11-07 13:00:00
158,1699365600000,41.98,42.06,41.5,41.93,328663.09000000,2023-11-07 14:00:00
159,1699369200000,41.94,41.96,40.81,41.21,453977.48000000,2023-11-07 15:00:00
160,1699372800000,41.21,41.72,41.02,41.66,334295.25000000,2023-11-07 16:00:00
161,1699376400000,41.66,43.11,41.07,43.04,796153.57000000,2023-11-07 17:00:00
162,1699380000000,43.04,44.08,42.78,43.95,1094895.37000000,2023-11-07 18:00:00
163,1699383600000,43.97,44.39,43.4,43.86,542603.26000000,2023-11-07 19:00:00
164,1699387200000,43.86,44.78,43.77,44.33,505092.80000000,2023-11-07 20:00:00
165,1699390800000,44.33,44.44,43.7,43.81,323415.44000000,2023-11-07 21:00:00
166,1699394400000,43.81,43.83,42.86,43.06,454001.21000000,2023-11-07 22:00:00
167,1699398000000,43.07,43.16,42.76,42.93,217561.74000000,2023-11-07 23:00:00
168,1699401600000,42.93,43.15,42.31,42.48,295293.13000000,2023-11-08 00:00:00
169,1699405200000,42.48,43.1,42.25,43.09,147034.43000000,2023-11-08 01:00:00
170,1699408800000,43.08,43.32,42.96,43.03,123529.36000000,2023-11-08 02:00:00
171,1699412400000,43.02,43.5,42.85,43.37,133125.05000000,2023-11-08 03:00:00
172,1699416000000,43.36,43.67,43.3,43.39,136684.66000000,2023-11-08 04:00:00
173,1699419600000,43.38,43.48,42.98,43.17,130377.69000000,2023-11-08 05:00:00
174,1699423200000,43.17,43.63,43.01,43.46,130033.44000000,2023-11-08 06:00:00
175,1699426800000,43.46,43.78,43.32,43.49,118570.15000000,2023-11-08 07:00:00
176,1699430400000,43.47,43.88,43.34,43.5,170571.19000000,2023-11-08 08:00:00
177,1699434000000,43.49,43.6,43.2,43.25,140353.07000000,2023-11-08 09:00:00
178,1699437600000,43.26,43.4,43.09,43.29,227561.92000000,2023-11-08 10:00:00
179,1699441200000,43.29,43.59,43.13,43.31,177703.65000000,2023-11-08 11:00:00
180,1699444800000,43.3,43.5,43.0,43.46,159534.01000000,2023-11-08 12:00:00
181,1699448400000,43.48,43.6,43.01,43.32,205969.78000000,2023-11-08 13:00:00
182,1699452000000,43.32,43.35,42.71,42.78,222192.85000000,2023-11-08 14:00:00
183,1699455600000,42.77,42.82,42.31,42.77,341847.89000000,2023-11-08 15:00:00
184,1699459200000,42.77,43.22,42.58,43.12,213164.08000000,2023-11-08 16:00:00
